id,buyer_id,product_id,quantity,city,state,status,created_at,estimated_value
1,158,351,5,Amritsar,Punjab,won,2024-03-12 14:00:00,3473533.89
2,145,290,5,Thiruvananthapuram,Kerala,won,2024-09-04 11:00:00,1168230.49
3,125,119,2,Noida,Uttar Pradesh,contacted,2024-04-29 01:00:00,3361.84
4,133,406,50,Bhubaneswar,Odisha,quoted,2025-04-14 14:00:00,37740561.57
5,11,333,50,Udaipur,Rajasthan,new,2025-05-10 16:00:00,20877633.83
6,71,380,20,Jaipur,Rajasthan,negotiating,2024-10-18 05:00:00,3435482.0
7,97,188,2,Ludhiana,Punjab,quoted,2024-07-11 07:00:00,28945.71
8,91,419,50,Bhopal,Madhya Pradesh,quoted,2024-09-03 19:00:00,160103.53
9,36,226,5,Chandigarh,Chandigarh,contacted,2024-09-20 20:00:00,85401.71
10,39,96,5,Durgapur,West Bengal,quoted,2025-01-02 03:00:00,2645609.06
11,107,416,50,Hyderabad,Telangana,won,2024-09-03 21:00:00,7428896.35
12,54,303,5,Delhi,Delhi,negotiating,2024-07-29 00:00:00,495655.3
13,33,294,5,Hyderabad,Telangana,new,2024-09-19 01:00:00,2715274.55
14,38,29,5,Ludhiana,Punjab,contacted,2024-04-02 16:00:00,136184.74
15,154,289,1,Jaipur,Rajasthan,lost,2025-01-07 21:00:00,772420.18
16,22,111,200,Pune,Maharashtra,negotiating,2024-08-29 15:00:00,35596638.14
17,106,308,5,Noida,Uttar Pradesh,won,2025-02-24 05:00:00,113824.58
18,131,136,5,Guwahati,Assam,won,2024-06-24 14:00:00,5935.61
19,18,118,100,Bhopal,Madhya Pradesh,quoted,2024-02-25 00:00:00,58351581.77
20,130,351,100,Nagpur,Maharashtra,lost,2024-11-06 03:00:00,69893176.14
21,158,308,1,Amritsar,Punjab,lost,2024-09-29 16:00:00,23615.64
22,24,247,5,Howrah,West Bengal,lost,2024-10-03 00:00:00,1822020.14
23,111,268,100,Lucknow,Uttar Pradesh,quoted,2024-01-23 22:00:00,14832520.98
24,59,411,200,Thiruvananthapuram,Kerala,won,2024-07-14 11:00:00,17168166.26
25,148,51,100,Kanpur,Uttar Pradesh,new,2024-09-01 07:00:00,1877918.93
26,22,146,500,Pune,Maharashtra,quoted,2024-04-06 00:00:00,434541202.2
27,2,296,500,Hubballi,Karnataka,new,2024-01-04 12:00:00,434503880.49
28,81,210,50,Thiruvananthapuram,Kerala,new,2024-08-06 20:00:00,33810322.77
29,67,275,100,Noida,Uttar Pradesh,negotiating,2024-11-09 08:00:00,2719401.48
30,102,387,10,Ranchi,Jharkhand,quoted,2025-02-05 17:00:00,8166453.61
31,95,287,500,Howrah,West Bengal,quoted,2024-06-06 18:00:00,142045786.91
32,102,377,5,Ranchi,Jharkhand,lost,2024-12-03 03:00:00,473545.86
33,115,401,5,Hyderabad,Telangana,new,2024-09-17 12:00:00,10193.39
34,141,315,1,Bhopal,Madhya Pradesh,new,2025-05-08 20:00:00,16626.29
35,24,75,200,Howrah,West Bengal,lost,2024-08-10 02:00:00,3958841.35
36,57,190,2,Udaipur,Rajasthan,negotiating,2025-01-05 12:00:00,1595895.72
37,103,315,500,Raipur,Chhattisgarh,contacted,2025-05-08 19:00:00,8465934.21
38,45,328,200,Kochi,Kerala,quoted,2024-04-13 21:00:00,111936416.67
39,133,147,10,Bhubaneswar,Odisha,new,2024-11-02 16:00:00,138899.64
40,60,315,5,Delhi,Delhi,won,2024-07-03 07:00:00,102159.26
41,41,45,20,Jodhpur,Rajasthan,won,2024-06-29 21:00:00,3699335.41
42,151,103,500,Hyderabad,Telangana,new,2024-12-26 02:00:00,3186123.67
43,141,146,500,Bhopal,Madhya Pradesh,lost,2024-06-27 11:00:00,465715329.96
44,71,116,10,Jaipur,Rajasthan,quoted,2024-07-25 18:00:00,1271085.28
45,45,209,500,Kochi,Kerala,new,2024-02-07 16:00:00,11720398.63
46,30,412,500,Visakhapatnam,Andhra Pradesh,expired,2025-03-24 17:00:00,46587413.5
