id,buyer_id,supplier_id,status,order_date,amount
1,158,21,pending,2024-03-23,3191432.45
2,145,10,confirmed,2024-09-22,1210674.73
3,107,40,shipped,2024-09-04,7591813.46
4,106,13,delivered,2025-03-13,116399.23
5,131,5,delivered,2024-07-13,5804.05
6,59,38,confirmed,2024-08-04,17560014.9
7,60,21,confirmed,2024-07-07,103482.04
8,41,31,pending,2024-07-05,3661844.09
9,87,48,confirmed,2025-04-15,245321.84
10,28,57,delivered,2024-12-12,43342.36
11,121,68,delivered,2024-09-17,729247.07
12,159,77,delivered,2024-09-12,295976.06
13,33,12,confirmed,2024-05-17,17266617.16
14,9,49,shipped,2024-02-19,1887777.01
15,54,34,cancelled,2024-06-25,1778095.48
16,65,56,delivered,2024-10-31,95726359.28
17,48,1,delivered,2024-05-13,25322933.66
18,20,58,delivered,2024-04-10,512497.91
19,148,55,delivered,2025-04-20,35082.79
20,52,23,confirmed,2025-04-07,2103223.15
21,106,70,cancelled,2024-02-10,7711940.44
22,113,26,delivered,2025-03-26,5075197.14
23,22,36,shipped,2025-06-03,50809303.93
24,10,76,shipped,2025-03-14,21020.39
25,47,57,delivered,2024-04-22,4715741.71
26,120,53,cancelled,2024-04-30,965454.17
27,138,14,pending,2024-08-06,58535320.07
28,153,55,delivered,2024-07-01,79029.35
29,119,3,delivered,2024-11-17,6414474.68
30,115,79,delivered,2024-06-28,132274.43
31,8,38,shipped,2024-07-25,16967944.38
32,128,58,pending,2024-05-30,9334334.25
33,61,41,shipped,2025-03-20,14294.72
34,61,26,shipped,2024-04-13,3796419.46
35,89,12,shipped,2024-03-03,5588261.11
36,101,65,confirmed,2024-11-06,6232006.02
37,26,36,pending,2024-07-07,1136626.94
38,56,20,shipped,2024-03-10,1048989.37
39,83,23,confirmed,2024-05-25,478778.99
40,19,18,delivered,2024-01-20,46473.14
41,148,28,delivered,2025-02-02,10495263.12
42,10,62,delivered,2024-11-09,9553.12
43,11,63,confirmed,2024-11-21,21621.25
44,152,39,confirmed,2025-02-22,90127133.05
45,117,25,delivered,2025-05-06,6827.15
46,7,78,delivered,2025-04-05,283145.24
47,95,53,delivered,2024-01-02,64551102.0
48,157,40,confirmed,2024-02-16,65683.39
49,123,54,pending,2025-02-02,2168614.14
50,150,53,delivered,2025-02-08,684793.63
51,22,23,shipped,2025-05-25,146817261.99
52,93,18,returned,2024-08-21,3832385.39
53,23,8,shipped,2024-08-17,37727169.83
54,78,53,cancelled,2024-05-11,167015319.95
55,123,43,shipped,2024-03-20,2670913.15
56,29,69,shipped,2025-02-01,4340.53
57,12,19,delivered,2025-01-24,364329.48
58,134,41,cancelled,2025-01-03,86698426.0
59,149,56,confirmed,2025-02-16,14857176.3
60,35,1,delivered,2025-03-17,1229355.97
61,160,3,delivered,2024-10-07,7124.87
62,29,79,delivered,2024-12-21,3475767.14
63,97,26,delivered,2024-06-12,974058.16
64,38,11,confirmed,2025-03-16,1465763.68
65,156,30,delivered,2025-02-08,20358.87
