id,supplier_id,category_id,name,price,moq,stock
1,68,18,Full Body Harness Model-564,2524.5,2,4516
2,28,20,Industrial Rivet Gun - Standard,20694.11,100,3407
3,13,20,Machine Screw Assortment - Premium,9388.81,5,3885
4,12,10,3-Phase Motor - Economy,82215.28,50,1065
5,8,17,Desk Organizer Set Model-675,3099.67,50,3464
6,7,20,Machine Screw Assortment - Premium,14469.07,10,1267
7,62,19,Industrial Exhaust Fan,297694.38,50,941
8,74,13,TMT Steel Bar 12mm - Economy,718405.11,1,4988
9,35,19,Split AC 1.5 Ton - Premium,597338.55,25,2783
10,1,14,Drip Irrigation Kit - Standard,481437.98,100,570
11,4,11,Mono Perc Solar Panel 550W Model-864,182980.68,100,3716
12,21,14,Seed Drill Machine - Premium,660343.75,2,430
13,21,11,Solar Mounting Structure,231396.6,100,3978
14,57,18,Safety Goggles - Standard,2889.75,100,908
15,76,13,Ceramic Floor Tile - Premium,38747.95,100,4909
16,1,9,Hydraulic Press - Standard,652282.0,25,2371
17,16,14,Tractor Disc Harrow - Economy,149464.23,100,4362
18,30,20,Threaded Rod M16 - Premium,21551.02,1,3573
19,59,9,CNC Lathe Machine - Premium,489458.92,100,3421
20,15,13,Ceramic Floor Tile - Premium,146216.42,500,2964
21,56,10,3-Phase Motor - Economy,500602.26,2,3242
22,44,13,TMT Steel Bar 12mm - Standard,65061.01,2,4346
23,25,17,Whiteboard Marker Pack - Standard,3703.78,10,1421
24,20,18,High Visibility Vest - Standard,15717.32,500,4618
25,58,18,High Visibility Vest Model-678,24275.78,50,1236
26,9,16,Knitted Jersey Cloth - Premium,676910.78,1,2883
27,10,17,Whiteboard Marker Pack - Economy,9250.0,25,628
28,12,19,Air Curtain Model-708,326902.43,1,3684
29,25,18,Full Body Harness - Economy,23945.17,500,847
30,11,14,Sprinkler System - Standard,33414.94,500,3599
31,67,17,Desk Organizer Set - Premium,7108.19,100,2771
32,77,19,Split AC 1.5 Ton - Premium,56165.19,2,4570
33,50,19,Cooling Tower Fill Model-358,742306.72,50,667
34,19,18,Full Body Harness - Economy,17735.41,2,2536
35,49,17,Laser Toner Cartridge - Premium,16769.4,2,3468
36,47,17,A4 Copier Paper Ream - Premium,5394.11,500,1572
37,18,12,Stretch Wrap Film - Premium,2573.46,1,2758
38,17,18,Fire Extinguisher ABC - Standard,20792.06,5,3585
39,53,9,Industrial Conveyor - Standard,824154.87,25,3677
40,69,12,Stretch Wrap Film - Economy,4890.7,500,3782
41,49,13,AAC Block - Economy,821332.99,10,4953
42,33,11,Mono Perc Solar Panel 550W - Economy,743018.29,2,4226
